auction_name,auction_slug,period_date,winning_bid_max,winning_bid_min,winning_bid_mean,trading_volume,lots_count,all_auctions_lots_count
Whisky.Auction,whiskyauction,2021-09-01 00:00:00+00,52000,6,280.69,251776,897,38731
Whisky.Auction,whiskyauction,2021-10-01 00:00:00+00,19000,2,131.41,313014,2382,43367
Whisky.Auction,whiskyauction,2021-11-01 00:00:00+00,64000,5,288.07,427499,1484,50235
Whisky.Auction,whiskyauction,2021-12-01 00:00:00+00,19000,5,259.25,478571,1846,44158
Whisky.Auction,whiskyauction,2022-01-01 00:00:00+00,12600,2,134.77,309710,2298,37474
Whisky.Auction,whiskyauction,2022-02-01 00:00:00+00,28000,5,361.35,483129,1337,44602
Whisky.Auction,whiskyauction,2022-03-01 00:00:00+00,22000,5,263.77,307288,1165,46544
Whisky.Auction,whiskyauction,2022-04-01 00:00:00+00,180000,2,207.1,657327,3174,50951
Whisky.Auction,whiskyauction,2022-05-01 00:00:00+00,9400,5,229.93,209927,913,45291
Whisky.Auction,whiskyauction,2022-06-01 00:00:00+00,24500,5,326,329582,1011,43553
Whisky.Auction,whiskyauction,2022-07-01 00:00:00+00,18000,2,157.67,417656,2649,47042
Whisky.Auction,whiskyauction,2022-08-01 00:00:00+00,12000,5,312.27,388154,1243,40649
Whisky.Auction,whiskyauction,2022-09-01 00:00:00+00,11600,5,319.86,464754,1453,55429
Whisky.Auction,whiskyauction,2022-10-01 00:00:00+00,21500,2,135.78,486514,3583,49660
Whisky.Auction,whiskyauction,2022-11-01 00:00:00+00,12000,5,282.39,296514,1050,55340
Whisky.Auction,whiskyauction,2022-12-01 00:00:00+00,27500,5,242.16,435639,1799,53794
Whisky.Auction,whiskyauction,2023-01-01 00:00:00+00,21000,2,139.81,450063,3219,39650
Whisky.Auction,whiskyauction,2023-02-01 00:00:00+00,9600,5,270.58,321992,1190,41735
Whisky.Auction,whiskyauction,2023-03-01 00:00:00+00,20500,7,252.77,391039,1547,51697
Whisky.Auction,whiskyauction,2023-04-01 00:00:00+00,5600,2,103.16,391716,3797,37629
Whisky.Auction,whiskyauction,2023-05-01 00:00:00+00,19500,5,303.65,423290,1394,44950
Whisky.Auction,whiskyauction,2023-06-01 00:00:00+00,8800,5,233.22,266333,1142,45412
Whisky.Auction,whiskyauction,2023-07-01 00:00:00+00,17000,2,155.84,414391,2659,33595
WhiskyAuction.com,whiskyauctioncom,2005-11-01 00:00:00+00,1293,1,45.37,35120,774,774
WhiskyAuction.com,whiskyauctioncom,2005-12-01 00:00:00+00,1247,1,50.74,47492,936,936
WhiskyAuction.com,whiskyauctioncom,2006-01-01 00:00:00+00,981,1,58.01,54179,934,934
WhiskyAuction.com,whiskyauctioncom,2006-02-01 00:00:00+00,1194,1,44.11,42961,974,974
WhiskyAuction.com,whiskyauctioncom,2006-03-01 00:00:00+00,830,1,47.07,36619,778,778
WhiskyAuction.com,whiskyauctioncom,2006-04-01 00:00:00+00,503,1,49.04,44428,906,906
WhiskyAuction.com,whiskyauctioncom,2006-05-01 00:00:00+00,1739,1,52.41,46175,881,881
WhiskyAuction.com,whiskyauctioncom,2006-06-01 00:00:00+00,859,1,44.36,41478,935,935
WhiskyAuction.com,whiskyauctioncom,2006-07-01 00:00:00+00,910,1,65.99,72057,1092,1092
WhiskyAuction.com,whiskyauctioncom,2006-08-01 00:00:00+00,687,1,44.14,42070,953,953
WhiskyAuction.com,whiskyauctioncom,2006-09-01 00:00:00+00,1020,1,58.84,51959,883,883
WhiskyAuction.com,whiskyauctioncom,2006-10-01 00:00:00+00,823,1,58.29,68259,1171,1171
WhiskyAuction.com,whiskyauctioncom,2006-11-01 00:00:00+00,1541,1,62.51,63077,1009,1009
WhiskyAuction.com,whiskyauctioncom,2006-12-01 00:00:00+00,1023,1,52.07,45876,881,881
WhiskyAuction.com,whiskyauctioncom,2007-01-01 00:00:00+00,672,1,57.94,57709,996,996
WhiskyAuction.com,whiskyauctioncom,2007-02-01 00:00:00+00,665,1,51.03,48579,952,952
WhiskyAuction.com,whiskyauctioncom,2007-03-01 00:00:00+00,678,1,46.58,40290,865,865
WhiskyAuction.com,whiskyauctioncom,2007-04-01 00:00:00+00,1484,1,66.82,67417,1009,1009
WhiskyAuction.com,whiskyauctioncom,2007-05-01 00:00:00+00,621,1,43.7,38849,889,889
